,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0039155,730.5958061,4.619013535,0.168706756,27.37894829,4.89E-165,4.07E-161
FBgn0025111,1501.410513,-2.899864183,0.126920468,-22.84788449,1.53E-115,6.38E-112
FBgn0029167,3706.116531,2.197000287,0.096988869,22.65208691,1.33E-113,3.69E-110
FBgn0003360,4343.035397,3.179672422,0.143526226,22.15394706,9.56E-109,1.99E-105
FBgn0035085,638.2326089,2.560412052,0.1372952,18.6489554,1.29E-77,2.14E-74
FBgn0039827,261.9162359,4.1625161,0.232588757,17.89646308,1.26E-71,1.74E-68
FBgn0034736,225.8763625,3.511438814,0.214672094,16.35722065,3.86E-60,4.59E-57
FBgn0029896,489.8923697,2.445024258,0.151942787,16.09174289,2.92E-58,3.03E-55
FBgn0000071,342.2384072,-2.679583651,0.182611755,-14.67366465,9.51E-49,8.79E-46
FBgn0051092,153.0656035,-2.327710996,0.176746353,-13.1697823,1.31E-39,1.09E-36
FBgn0034434,114.6255593,3.642568083,0.27828547,13.08932186,3.79E-39,2.87E-36
FBgn0040091,1106.529646,1.575398269,0.120941901,13.02607499,8.70E-39,6.03E-36
FBgn0027279,2954.973712,1.19211896,0.093607101,12.73534744,3.76E-37,2.41E-34
FBgn0038832,301.9223599,2.541148839,0.202516257,12.54787577,4.08E-36,2.43E-33
FBgn0034897,892.5042269,1.921502303,0.15892587,12.09055706,1.18E-33,6.57E-31
FBgn0039419,1564.306797,1.160464669,0.096358411,12.04321095,2.11E-33,1.10E-30
FBgn0003501,277.4554544,-2.153552273,0.180607012,-11.92396825,8.88E-33,4.35E-30
FBgn0035189,215.6491095,-2.974958291,0.253548138,-11.7333076,8.60E-32,3.98E-29
FBgn0033764,65.20400081,-3.411455416,0.294643867,-11.57823326,5.31E-31,2.33E-28
FBgn0040827,215.9872771,1.989948579,0.176483543,11.27554756,1.73E-29,7.21E-27
FBgn0032405,79.61406196,-2.672617973,0.239772148,-11.1464905,7.45E-29,2.95E-26
FBgn0052407,187.0566923,2.20300575,0.198261636,11.11160887,1.10E-28,4.17E-26
FBgn0033913,5213.065303,1.161435206,0.105040663,11.0570057,2.03E-28,7.34E-26
FBgn0023479,3091.860007,1.525463393,0.139198208,10.95892985,6.02E-28,2.09E-25
FBgn0026562,43909.34839,2.362510066,0.226919178,10.41124018,2.20E-25,7.34E-23
FBgn0034010,547.2495955,1.451795981,0.139774424,10.38670697,2.85E-25,9.12E-23
FBgn0001224,598.9241952,-1.48574818,0.143621308,-10.34490078,4.41E-25,1.36E-22
FBgn0063649,646.2067032,1.309424138,0.128284802,10.20716498,1.84E-24,5.47E-22
FBgn0037754,269.7594348,2.342065138,0.234039359,10.00714215,1.42E-23,4.07E-21
FBgn0003748,1095.968982,-1.073096748,0.10762847,-9.970380049,2.05E-23,5.70E-21
FBgn0085359,68.61003763,4.918127119,0.495981366,9.915951405,3.55E-23,9.53E-21
FBgn0261552,5128.823025,1.896263068,0.191314189,9.911774315,3.70E-23,9.62E-21
FBgn0039109,475.4144025,1.303611064,0.131802399,9.890647441,4.57E-23,1.15E-20
FBgn0024288,58.8511039,4.585835985,0.465011654,9.861765709,6.10E-23,1.49E-20
FBgn0024315,92.08614941,2.286804269,0.232770723,9.824277917,8.85E-23,2.10E-20
FBgn0016715,150.8760473,1.973778467,0.203825679,9.683659497,3.54E-22,8.18E-20
FBgn0050147,973.9283608,0.951910713,0.099810315,9.537197723,1.47E-21,3.30E-19
FBgn0040099,910.1156554,1.781315901,0.190311169,9.360017634,7.97E-21,1.75E-18
FBgn0003137,4518.860997,-0.918382898,0.099172298,-9.260478095,2.04E-20,4.34E-18
FBgn0001226,1323.885028,-1.718617474,0.186315212,-9.224246671,2.86E-20,5.94E-18
FBgn0037290,67.09795524,-3.010273303,0.330024351,-9.121367234,7.42E-20,1.51E-17
FBgn0001225,420.2967859,-1.347406346,0.151024428,-8.921777533,4.59E-19,9.09E-17
FBgn0034751,16641.14635,1.061488377,0.119127368,8.910533316,5.08E-19,9.83E-17
FBgn0260011,89.27697214,-2.388113769,0.269977009,-8.845619024,9.10E-19,1.72E-16
FBgn0039257,521.927309,1.052703416,0.120273684,8.752566495,2.09E-18,3.86E-16
FBgn0037153,103.1380084,-1.841159838,0.212029711,-8.683499272,3.84E-18,6.94E-16
